domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
mtpp,retweets,AttNHP,base,no_warrant,7,completed,95.439766,40.945385,0.755474,mark_mrr,higher,0.533658,,0.755474,,,,,,,,,,,,4008.518451,,1.0,0.0,,,,0.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.894488,experiments/path_localization/outputs/mtpp/retweets/AttNHP/base/seed_7
mtpp,retweets,AttNHP,generic_qk_warrant,weak_path_generic_attention,7,completed,95.502917,41.007889,0.77129,mark_mrr,higher,0.564477,,0.77129,,,,,,,,,,,,4015.373164,,0.015299,0.040203,,,,2.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,5.01667,experiments/path_localization/outputs/mtpp/retweets/AttNHP/generic_qk_warrant/seed_7
mtpp,retweets,AttNHP,correct_path_warrant,metric_defining_path,7,completed,95.503222,41.007824,0.771019,mark_mrr,higher,0.564477,,0.771019,,,,,,,,,,,,4015.168463,,0.108927,0.333061,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.795356,experiments/path_localization/outputs/mtpp/retweets/AttNHP/correct_path_warrant/seed_7
mtpp,retweets,AttNHP,shuffled_pairing,query_item_pairing_control,7,completed,95.503222,41.032856,0.753582,mark_mrr,higher,0.532036,,0.753582,,,,,,,,,,,,4015.064048,,0.108927,0.333061,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,2.799886,experiments/path_localization/outputs/mtpp/retweets/AttNHP/shuffled_pairing/seed_7
stpp,earthquake,DeepSTPP,base,no_warrant,7,completed,3.393997,9.582046,2.251913,rmse_location,lower,,,,,,,,,,,,,,9.582046,0.243656,2.251913,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.332148,experiments/path_localization/outputs/stpp/earthquake/DeepSTPP/base/seed_7
stpp,earthquake,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,7,completed,3.39346,9.491029,2.225269,rmse_location,lower,,,,,,,,,,,,,,9.491029,0.283405,2.225269,0.476667,1.451752,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,6.075035,experiments/path_localization/outputs/stpp/earthquake/DeepSTPP/generic_qk_warrant/seed_7
stpp,earthquake,DeepSTPP,correct_path_warrant,metric_defining_path,7,completed,3.393231,9.541882,2.23224,rmse_location,lower,,,,,,,,,,,,,,9.541882,0.264236,2.23224,0.94338,2.974761,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.385424,experiments/path_localization/outputs/stpp/earthquake/DeepSTPP/correct_path_warrant/seed_7
stpp,earthquake,DeepSTPP,shuffled_pairing,query_item_pairing_control,7,completed,3.393231,9.980317,2.363855,rmse_location,lower,,,,,,,,,,,,,,9.980317,0.267034,2.363855,0.94338,2.974761,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,2.378517,experiments/path_localization/outputs/stpp/earthquake/DeepSTPP/shuffled_pairing/seed_7
tkg,gdelt,xERTE,base,no_warrant,7,completed,9.426107,9.573122,0.048807,mrr,higher,0.039,,,0.048807,,,,,,,,,,,,,1.0,0.0,,,0.0,0.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.203964,experiments/path_localization/outputs/tkg/gdelt/xERTE/base/seed_7
tkg,gdelt,xERTE,generic_qk_warrant,weak_path_generic_attention,7,completed,9.425895,9.573485,0.049191,mrr,higher,0.0395,,,0.049191,,,,,,,,,,,,,0.954263,2.677273,,,0.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,5.296393,experiments/path_localization/outputs/tkg/gdelt/xERTE/generic_qk_warrant/seed_7
